num_image,nom_produit,description,origine,vente,type_produit,,
105,Beaufort Canette 33cl,"Bière blonde cuivrée en canette 33cl,  issue de la fermentation du malt et du houblon. Elle a une robe blonde et une mousse légère. Elle contient 5,2% d'alcool. Température idéale de dégustation entre 4 et 8°.",AFRIQUE DE L'OUEST,à l'unité,Boissons,,
106,Sésame entier /100g (a refaire),,,,,,
107,"Aubergine ""ronde à oeuf""","Cuites, les aubergines deviennent tendres et savoureuses. eIles peuvent être cuisinées frites, à la vapeur ou mijotées. En Afrique, elles sont également utilisées comme des ingrédients pour les sauces.",Monde,Au poids,Légume,,
108,Piment entier sec /100g,"Amateurs de palets enflamés, pour des recettes pimentées authentiques et pleines de saveurs.",Afrique/Amerique Latine,Au poids,Condiments et Epices,,
109,"Alo, cure dents","Ce produit est utilisé en remplacement de la brosse à dent, pour des dents toujours propres",Togo,Au poids,Autres,,
110,Potasse rouge / Akam djin,"Utilisé en substitution à la potasse, elle aide à la cuisson rapide du haricot pour en faire du Ayimoulou",Togo,à l'unité,Condiments et Epices,,
111,Potasse blanche / Akam,"Utilisé en sustitution à la potasse, il aide à la cuisson rapide des féculents et à enlever le goût acide de votre repas.",Togo,Au poids,Condiments et Epices,,
112,"Agoègbé, feuilles de céné",Les feuilles sont utilisées pour lutter contre la constipation et pour purifier la flore instestinale et le tube digestif. A utiliser avec modération.,Afrique de l'Ouest,Au poids,Autres,,
113,"Ebli schtro, peau de maïs /sachet",Ce sachet de feuille de maïs permettra l'embalage de certains mets destinés à être cuits à la vapeur ,Afrique de l'Ouest,Au poids,Autres,,
123,Afiti /Dawa / Graine de Néré,"Traditionnellement utilisé comme arôme d’assaisonnement des repas, elle est obtenu après transformation de graines. La farine de néré apporte la totalité des acides aminés essentiels à l’organisme, du fer, mais aussi de la vitamine C.",Afrique,A l'unité,Condiments et Epices,,
124,"Akpi, n'janssan en grain","Graine originaire d'Afrique, elle est souvent utilisée dans la préparation des sauces. Aplliquée sur une surface, elle sert aussi à gonfler les tissus musculaires pour mettre en avant les attribus du corps féminin ",Cameroun,A l'unité,Autres,,
125,Poivre Long / chatin,"Originaire d'Indonésie, elle a une saveur chaude et piquante. Râpez-la ou écrasez-la dans vos sauces pour des saveurs exitantes.
",Indonesie,Au poids,Condiments et Epices,,
126,"Echto, poivre long en poudre /50g","Cet assaisonnement est utilisé  dans les pays  d'Afrique, Amérique latine..., pour assaisonner les aliments à forte odeur. Elle relève le gout en rajoutant du piquant au plat. Vous pouvez y rajouter du lait ou de la crème si vous cherchez un goût léger.",Afrique,Au poids,Condiments et Epices,,
127,"Ayikou, pèbè entier/50g",A faire,,,,,
128,"Ayikou, pèbè en poudre/50g","Surnomées ""fausses muscades"", les cosses de pèbè se torréfient puis se décortiquent et se râpent ou se broient pour assaisonner les grillades, les  brochettes de poulet ou de crevettes... En Afrique, elle est offerte aux jeunes mariés lors des cérémonies car symbôle de bonheur dans les ménages.",Afrique,Au poids,Condiments et Epices,,
129,Gingembre en poudre du Togo /50g,"Cet assaisonnement est utilisé  dans le monde entier, pour assaisonner les aliments à forte odeurs (la viande rouge, les volailles, le poisson...). Elle relève le gout en rajoutant du piquant au plat. Vous pouvez y rajouter du lait ou de la crème si vous cherchez un goût léger.",Togo,Unité,Condiments et Epices,,
130,POIVRE NOIR ENTIER 100G,"Cet assaisonnement est utilisé dans les pays du sud (Afrique, Amérique latine...), pour assaisonner les aliments à forte odeur (la viande rouge, les volailles, le poisson...). Elle relève le gout en rajoutant du piquant au plat. Vous pouvez y rajouter du lait ou de la crème si vous cherchez un goût léger.",Afrique,Unité,Condiments et Epices,,
131,POIVRE NOIR MOULU 100G,"Cet assaisonnement est utilisé, pour les aliments à forte odeur (la viande rouge, les volailles, le poisson...).En poudre, elle fait exploser les saveurs epicés pour ambrumer votre palais.",Afrique,Unité,Condiments et Epices,,
132,Poudre de Gingembre torrifié 50g,"Cet assaisonnement est utilisé, pour les aliments à forte odeur (la viande rouge, les volailles, le poisson...) Torrifié il déchaine les odeurs et saveurs en accentuant le goût epicé.",Togo,Unité,Condiments et Epices,,
133,COCO RAPEE 500GR,"Issue du fruit du cocotier, la coco rapée peut être utilisée comme complément dans la pâte à gateaux, décoration des gâteaux, arômes des desserts, les glaces, les entremets....",Togo,Au poids,Autres,,
134,Nouga / grand Nougatine,"La nougatine (Nouga) est une confiserie faite de sucre caramélisé et de menus morceaux d’amandes ou de noix, souvent utilisée en pâtisserie.",Togo,Unité,Autres,,
135,Cokada arachides grand nougats Nougat aux arachides /nkate cake / Kongodo ,Le nougat est une friandise au gout croquant fait à base de caramel et d’arachides,AFRIQUE DE L'OUEST,Unité,Autres,,
136,Akpan / Akassa / pièce ,"L'Akassa, ou Gui, en langue fon-gbe, Akpan en langue éwé, est une sorte de pâte faite à base de maïs cuit, moulu et trempé. L'akassa a un goût un peu fermenté et se consomme avec la sauce de poisson ou de viande.",Togo,Unité,Autres,,
137,Konme / Dokounou /la boule,"Dénommé Konme au Togo, Dokounou ou Kenkey au Ghana. Cette pâte cuite à la vapeur est souvent accompagnée de sauce tomate, de friture de piment grillé (yébessé  fion fion) et du poisson frit ou de la sardine.",Togo,Unité,Autres,,
138,Thiacry / Déguè /500g,Le Thiakry ou encore le Dèguè est un plat de couscous sucré au lait consommé en Afrique de l'Ouest. Les granules de blé ou de millet sont mélangés avec du lait concentré sucré ou du yogourt.,AFRIQUE DE L'OUEST,Au poids,Autres,,
139,Piments Antillais,"Le piment antillais (aussi appelé piment habanero) fait partie de la famille Capsicum chinense, espèce considérée comme la plus piquante au monde . Ce piment plutôt rond et boursouflé peut être jaune, orange, vert et rouge suivant la maturité. Très puissant en bouche, il relève le goût de multiples plats salés, des accras aux courts-bouillons.",Mexique/Afrique/Antilles, Au Poids,Condiments et Epices,,
140,Marquereau fumé,"Poisson de mer, sa peau est très fragile. Il est fumé dans les pays d'Afrique et d'Amérique latine pour préparer toute sorte de sauce.N'hésitez pas à rajouter un peu de poivre pour ameliorer l'assaisonnement.",Afrique/Amerique du Sud,Poids/Unité,Viande et poissons,,
141,Lanhoin ou Poisson fermenté,"Originaire du sud Togo, c'est un ingrédient très utilisé dans les pays de l'Afrique (Ouest,Centre, Est). Issu de la fermation de poissons de tout genre, il est extrêmement salé et est utilisé en remplacement des bouillons.",Afrique,Poids,Condiments et Epices,,
142,ARACHIDE RAPEE BRUNE 500G,L'arachide crue décortiquée est utilisée en cuisine pour faire des sauces. Elle peut aussi être utilisée comme assaisonnement ou pour le glacage.,France,Poids,Autres,,
143,ARACHIDE CRUE DECORTIQUE 35/40 1KG,"L'arachide crue décortiquée est utilisée pour la cuisine quand elle est moulue, ou comme amuse-gueule quand elle est grillée ou caramelisée",France,Poids,Autres,,
144,ARACHIDE CRUE BLANCHIE 1KG,"Ces arachides sont ensuite légèrement grillées afin de faire ressortir leur saveur beurrée et de noix. Elles sont idéales pour la cuisine, la cuisson, en collation ou en garniture.",France,Poids,Autres,,
145,HARICOT LINGOT BLANC IMPORT 1KG,Les haricots blancs sont les aliments d’origine végétale les plus riches en protéines. Ils sont fortement recommandé pour les vegans,France,Au poids,Légumore,,
146,HARICOT CORNILLE IMPORT 1KG,Les haricots sont les aliments d’origine végétale les plus riches en protéines. Ils sont fortement recommandé pour les vegans,Madagascar,Au poids,Légumore,,
147,HARICOT NOIR (COCO) IMPORT 5KG,Les haricots sont les aliments d’origine végétale les plus riches en protéines. Ils sont fortement recommandé pour les vegans,Madagascar,Au poids,Légumore,,
148,HARICOT LINGOT ROSE 1KG,Les haricots sont les aliments d’origine végétale les plus riches en protéines. Ils sont fortement recommandé pour les vegans,Madagascar,Au poids,Légumore,,
